Image,MSE_deg,PSNR_deg,SSIM_deg,MSE_res,PSNR_res,SSIM_res
baboon,0.0222885660408336,16.5191787142933,0.157063817445077,0.0183146395852957,17.3720162341808,0.410429533425714
barbara,0.0197422223822588,17.0460396037834,0.156837988418258,0.00851514500631827,20.6980795194006,0.52208283601036
boat,0.0172677121277905,17.6276520013356,0.173241359378486,0.010485710743585,19.7940212680517,0.572176983494825
cameraman,0.0195470473345589,17.0891883536037,0.162796237890969,0.0307640641291649,15.1195629200848,0.523868671890286
peppers,0.0163543543167251,17.8636659750166,0.138035825207927,0.00438568757438076,23.579623096296,0.652743592545206
