Image,MSE_Degraded,PSNR_Degraded,SSIM_Degraded,MSE_Restored,PSNR_Restored,SSIM_Restored
baboon,0.0222885660408369,16.5191787142933,0.157063817445077,0.0195574173515769,17.0868849637939,0.384701187882091
barbara,0.0197422223822606,17.0460396037834,0.156837988418258,0.00865531709234103,20.6271701687797,0.55799807934583
boat,0.0172677121277911,17.6276520013356,0.173241359378486,0.0114353993270767,19.4174866511776,0.597895440933599
cameraman,0.0195470473345589,17.0891883536037,0.162796237890969,0.032981340312277,14.8173169925553,0.57860090325327
peppers,0.0163543543167241,17.8636659750166,0.138035825207927,0.00503657056612439,22.9786507687966,0.698056458067469
