Image,MSE_Degraded,PSNR_Degraded,SSIM_Degraded,MSE_Restored,PSNR_Restored,SSIM_Restored
baboon,0.0222885660408369,16.5191787142933,0.157063817445077,0.00905404559306795,20.4315732287722,0.354656080075235
barbara,0.0197422223822606,17.0460396037834,0.156837988418258,0.00521432093588891,22.8280224198316,0.596637974421112
boat,0.0172677121277911,17.6276520013356,0.173241359378486,0.00375410558199937,24.2549351726744,0.601947830562342
cameraman,0.0195470473345589,17.0891883536037,0.162796237890969,0.00628322093120257,22.0181766931235,0.644575592515017
peppers,0.0163543543167241,17.8636659750166,0.138035825207927,0.00108888615968769,29.6301752226791,0.827341083240937
